author,date,text
3Jackieb,2020-03-06 04:53:26,RT @RenAlmeyda1: Y la casa viene con auto supongo o de qué derecho me estáis hablando 🤨
Aye_Cuellar,2020-03-06 04:53:38,RT @iborcoski: Dale RT al Tocomple del Apruebo!!! https://t.co/KJO4tabiLW
Ana_Karenina23,2020-03-06 04:53:44,"RT @EAstigue: Faltan 51dias para el Plebiscito!
#YoNomarcareelVoto
ASÍ VOTARÉ EN ABRIL Y TU? 🇨🇱

¿Quiere usted una nueva Constitución? 
—/—…"
hijorojo1,2020-03-06 04:53:45,RT @cortanews: ⚠️ AYER. El degenerado empresario @LehuedeJuan (cercano a JAK) inventa sin descaro que el Apruebo significa que “las niñas d…
carolitacc,2020-03-06 04:53:46,RT @GatosQls: ¿Cómo chucha es que Alinco y Pepe Auth tienen espacios personales dentro de la franja Apruebo? https://t.co/A5h6DL3Kh7
Ralison191,2020-03-06 04:53:47,Muy bellas palabras pero que dejan de tener validez cuando @lcruzcoke manifiesta que vota por el #Apruebo Es totalm… https://t.co/GFfPi2yo9w
janocepeda7,2020-03-06 04:53:47,"@gonzalowinter Haces una mezcla de ideas políticas, informacion real y persepcion personal y que obtienes? Una obse… https://t.co/O9TndVRAkx"
brbnotfound,2020-03-06 04:53:47,"RT @Diego_Schalper: Más allá de que me reí con el vídeo, envía mensaje falso: una Constitución no es capaz de darle a nadie una casa (ni me…"
rojaboca,2020-03-06 04:53:49,"RT @arroba_meste: Inviernista = apruebo
Veranista = rechazo"
Aseo2019,2020-03-06 04:53:51,RT @joseantoniokast: Totalitarismo en su máxima expresión. La campaña del Apruebo nos quiere imponer la Asamblea Constituyente y no quiere…
bnavarroz,2020-03-06 04:53:53,"RT @Dindero: Pero que tipo de proyección más degenerada realiza @LehuedeJuan
Sólo una mente enferma puede realizar dicho análisis completam…"
vaniafpp,2020-03-06 04:53:56,RT @nanostern: ¿Pero qué mierda les pasa?
vaniafpp,2020-03-06 04:53:59,RT @camila_vallejo: Esos fantasmas sólo habitan la cabeza de esos degenerados. Yo que él me hago ver
vaniafpp,2020-03-06 04:54:06,"RT @gonzalowinter: Venir ir a meter tus perversiones en la discusión sobre el apruebo y el rechazo, habla de que no tienes argumentos y de…"
PRETORCHILE,2020-03-06 04:54:07,RT @simuk123: This week students across all #Chile are united in manifesting their indignation at the unjust social economic system they &amp;…
MANQUEOBUSTOS,2020-03-06 04:54:11,RT @eldesconcierto: Pep Guardiola posa con bandera chilena y mensaje que apoya el “Apruebo” ▶ https://t.co/oOIQjQngmZ https://t.co/Ev9JnHaF…
misma_ella,2020-03-06 04:54:13,"RT @elmostrador: Allamand a lo Darth Vader: si gana el Apruebo, la izquierda se va a sentir autorizada a terminar con el derecho de propied…"
vaniafpp,2020-03-06 04:54:14,RT @powerlesliecl: A más conservadurismo más perversión #danasco #todosvanacaer #tienenmiedo y por esto y tanto más marchamos siempre y el…
